-18,74271 C1; 93,71356 C2; 25863,46 X6;
-18,78701 C1; 93,93507 C2; 25863,48 X6;
-18,83131 C1; 94,15658 C2; 25863,49 X6;
-18,87561 C1; 94,37807 C2; 25863,51 X6;
-18,91991 C1; 94,59957 C2; 25863,53 X6;
-18,96422 C1; 94,82108 C2; 25863,54 X6;
-19,00852 C1; 95,04258 C2; 25863,56 X6;
-19,05282 C1; 95,26407 C2; 25863,58 X6;
-19,09712 C1; 95,48557 C2; 25863,59 X6;
-19,14142 C1; 95,70708 C2; 25863,61 X6;
-19,18572 C1; 95,92857 C2; 25863,63 X6;
-19,23002 C1; 96,15008 C2; 25863,64 X6;
-19,27431 C1; 96,37157 C2; 25863,66 X6;
-19,31861 C1; 96,59306 C2; 25863,68 X6;
-19,36292 C1; 96,81458 C2; 25863,69 X6;
-19,40721 C1; 97,03607 C2; 25863,71 X6;
-19,45151 C1; 97,25757 C2; 25863,73 X6;
-19,49581 C1; 97,47907 C2; 25863,74 X6;
-19,54011 C1; 97,70056 C2; 25863,76 X6;
-19,58441 C1; 97,92207 C2; 25863,78 X6;
-19,62871 C1; 98,14355 C2; 25863,79 X6;
-19,67301 C1; 98,36505 C2; 25863,81 X6;
-19,71731 C1; 98,58654 C2; 25863,83 X6;
-19,76161 C1; 98,80803 C2; 25863,85 X6;
-19,80591 C1; 99,02954 C2; 25863,86 X6;
-19,85021 C1; 99,25103 C2; 25863,88 X6;
-19,89451 C1; 99,47252 C2; 25863,9 X6;
-19,9388 C1; 99,69402 C2; 25863,92 X6;
-19,9831 C1; 99,91552 C2; 25863,93 X6;
-20,02741 C1; 100,13702 C2; 25863,95 X6;
-20,0717 C1; 100,3585 C2; 25863,97 X6;
-20,116 C1; 100,58 C2; 25863,99 X6;
-20,1603 C1; 100,80149 C2; 25864,0 X6;
-20,2046 C1; 101,02298 C2; 25864,02 X6;
-20,24889 C1; 101,24448 C2; 25864,04 X6;
-20,29319 C1; 101,46597 C2; 25864,06 X6;
-20,33749 C1; 101,68745 C2; 25864,07 X6;
-20,38179 C1; 101,90894 C2; 25864,09 X6;
-20,42609 C1; 102,13044 C2; 25864,11 X6;
-20,47039 C1; 102,35194 C2; 25864,13 X6;
-20,51468 C1; 102,57342 C2; 25864,15 X6;
-20,55898 C1; 102,79491 C2; 25864,16 X6;
-20,60328 C1; 103,01641 C2; 25864,18 X6;
-20,64758 C1; 103,23789 C2; 25864,2 X6;
-20,69188 C1; 103,45938 C2; 25864,22 X6;
-20,73617 C1; 103,68086 C2; 25864,24 X6;
-20,78048 C1; 103,90237 C2; 25864,26 X6;
-20,82477 C1; 104,12386 C2; 25864,27 X6;
-20,86907 C1; 104,34534 C2; 25864,29 X6;
-20,91337 C1; 104,56683 C2; 25864,31 X6;
-20,95766 C1; 104,78831 C2; 25864,33 X6;
-21,00196 C1; 105,0098 C2; 25864,35 X6;
-21,04626 C1; 105,23129 C2; 25864,36 X6;
-21,09056 C1; 105,45277 C2; 25864,38 X6;
-21,13485 C1; 105,67427 C2; 25864,4 X6;
-21,17915 C1; 105,89574 C2; 25864,42 X6;
-21,22345 C1; 106,11723 C2; 25864,44 X6;
-21,26774 C1; 106,33871 C2; 25864,46 X6;
-21,31204 C1; 106,5602 C2; 25864,47 X6;
-21,35634 C1; 106,78168 C2; 25864,49 X6;
-21,40063 C1; 107,00317 C2; 25864,51 X6;
-21,44493 C1; 107,22466 C2; 25864,53 X6;
-21,48923 C1; 107,44614 C2; 25864,55 X6;
-21,53352 C1; 107,66761 C2; 25864,57 X6;
-21,57782 C1; 107,88911 C2; 25864,59 X6;
-21,62212 C1; 108,1106 C2; 25864,61 X6;
-21,66642 C1; 108,33208 C2; 25864,63 X6;
-21,71071 C1; 108,55355 C2; 25864,64 X6;
-21,75501 C1; 108,77503 C2; 25864,66 X6;
-21,79931 C1; 108,99652 C2; 25864,68 X6;
-21,8436 C1; 109,21799 C2; 25864,7 X6;
-21,8879 C1; 109,43948 C2; 25864,72 X6;
-21,93219 C1; 109,66096 C2; 25864,74 X6;
-21,97649 C1; 109,88244 C2; 25864,76 X6;
-22,02078 C1; 110,10392 C2; 25864,78 X6;
-22,06508 C1; 110,32539 C2; 25864,8 X6;
-22,10938 C1; 110,54688 C2; 25864,82 X6;
-22,15367 C1; 110,76836 C2; 25864,84 X6;
-22,19796 C1; 110,98982 C2; 25864,85 X6;
-22,24226 C1; 111,2113 C2; 25864,87 X6;
-22,28656 C1; 111,43278 C2; 25864,89 X6;
-22,33085 C1; 111,65426 C2; 25864,91 X6;
-22,37515 C1; 111,87574 C2; 25864,93 X6;
-22,41945 C1; 112,09723 C2; 25864,95 X6;
-22,46374 C1; 112,31871 C2; 25864,97 X6;
-22,50804 C1; 112,54018 C2; 25864,99 X6;
-22,55233 C1; 112,76165 C2; 25865,01 X6;
-22,59663 C1; 112,98313 C2; 25865,03 X6;
-22,64092 C1; 113,20459 C2; 25865,05 X6;
-22,68521 C1; 113,42606 C2; 25865,07 X6;
-22,72951 C1; 113,64753 C2; 25865,09 X6;
-22,7738 C1; 113,86903 C2; 25865,11 X6;
-22,8181 C1; 114,09049 C2; 25865,13 X6;
-22,8624 C1; 114,31197 C2; 25865,15 X6;
-22,90669 C1; 114,53344 C2; 25865,17 X6;
-22,95098 C1; 114,75491 C2; 25865,19 X6;
-22,99528 C1; 114,97639 C2; 25865,21 X6;
-23,03957 C1; 115,19785 C2; 25865,23 X6;
-23,08387 C1; 115,41933 C2; 25865,25 X6;
-23,12816 C1; 115,64079 C2; 25865,27 X6;
-23,17245 C1; 115,86226 C2; 25865,29 X6;
-23,21675 C1; 116,08374 C2; 25865,31 X6;
-23,26104 C1; 116,30522 C2; 25865,33 X6;
-23,30534 C1; 116,52667 C2; 25865,35 X6;
-23,34963 C1; 116,74815 C2; 25865,37 X6;
-23,39393 C1; 116,96962 C2; 25865,39 X6;
-23,43822 C1; 117,19109 C2; 25865,41 X6;
-23,48251 C1; 117,41255 C2; 25865,43 X6;
-23,52681 C1; 117,63403 C2; 25865,45 X6;
-23,5711 C1; 117,8555 C2; 25865,47 X6;
-23,61539 C1; 118,07696 C2; 25865,49 X6;
-23,65969 C1; 118,29843 C2; 25865,51 X6;
-23,70398 C1; 118,51989 C2; 25865,54 X6;
-23,74827 C1; 118,74136 C2; 25865,56 X6;
-23,79257 C1; 118,96284 C2; 25865,58 X6;
-23,83686 C1; 119,18429 C2; 25865,6 X6;
-23,88115 C1; 119,40576 C2; 25865,62 X6;
-23,92545 C1; 119,62723 C2; 25865,64 X6;
-23,96974 C1; 119,84868 C2; 25865,66 X6;
-24,01403 C1; 120,07016 C2; 25865,68 X6;
-24,05833 C1; 120,29163 C2; 25865,7 X6;
-24,10262 C1; 120,51308 C2; 25865,72 X6;
-24,14691 C1; 120,73454 C2; 25865,74 X6;
-24,1912 C1; 120,956 C2; 25865,76 X6;
-24,2355 C1; 121,17748 C2; 25865,78 X6;
-24,27979 C1; 121,39893 C2; 25865,81 X6;
-24,32408 C1; 121,62039 C2; 25865,83 X6;
-24,36837 C1; 121,84185 C2; 25865,85 X6;
-24,41266 C1; 122,06332 C2; 25865,87 X6;
-24,45696 C1; 122,28478 C2; 25865,89 X6;
-24,50125 C1; 122,50623 C2; 25865,92 X6;
-24,54554 C1; 122,72769 C2; 25865,93 X6;
-24,58983 C1; 122,94916 C2; 25865,96 X6;
-24,63412 C1; 123,17062 C2; 25865,98 X6;
-24,67841 C1; 123,39207 C2; 25866,0 X6;
-24,72271 C1; 123,61353 C2; 25866,02 X6;
-24,767 C1; 123,83501 C2; 25866,04 X6;
-24,81129 C1; 124,05645 C2; 25866,06 X6;
-24,85558 C1; 124,27789 C2; 25866,09 X6;
-24,89987 C1; 124,49937 C2; 25866,11 X6;
-24,94417 C1; 124,72083 C2; 25866,13 X6;
-24,98846 C1; 124,94228 C2; 25866,15 X6;
-25,03275 C1; 125,16372 C2; 25866,17 X6;
-25,07704 C1; 125,38519 C2; 25866,19 X6;
-25,12133 C1; 125,60664 C2; 25866,22 X6;
-25,16562 C1; 125,82809 C2; 25866,24 X6;
-25,20991 C1; 126,04955 C2; 25866,26 X6;
-25,2542 C1; 126,27101 C2; 25866,28 X6;
-25,29849 C1; 126,49245 C2; 25866,31 X6;
-25,34278 C1; 126,71391 C2; 25866,33 X6;
-25,38708 C1; 126,93537 C2; 25866,35 X6;
-25,43137 C1; 127,15681 C2; 25866,37 X6;
-25,47565 C1; 127,37826 C2; 25866,39 X6;
-25,51995 C1; 127,59973 C2; 25866,42 X6;
-25,56424 C1; 127,82118 C2; 25866,44 X6;
-25,60852 C1; 128,0426 C2; 25866,46 X6;
-25,65282 C1; 128,2641 C2; 25866,48 X6;
-25,6971 C1; 128,4855 C2; 25866,51 X6;
-25,7414 C1; 128,707 C2; 25866,53 X6;
-25,78569 C1; 128,9284 C2; 25866,55 X6;
-25,82997 C1; 129,1499 C2; 25866,57 X6;
-25,87426 C1; 129,3713 C2; 25866,6 X6;
-25,91856 C1; 129,5928 C2; 25866,62 X6;
-25,96284 C1; 129,8142 C2; 25866,64 X6;
-26,00713 C1; 130,0357 C2; 25866,66 X6;
-26,05143 C1; 130,2571 C2; 25866,68 X6;
-26,09571 C1; 130,4786 C2; 25866,71 X6;
-26,14 C1; 130,7 C2; 25866,73 X6;
-26,18429 C1; 130,9215 C2; 25866,76 X6;
-26,22858 C1; 131,1429 C2; 25866,78 X6;
-26,27287 C1; 131,3644 C2; 25866,8 X6;
-26,31716 C1; 131,5858 C2; 25866,82 X6;
-26,36145 C1; 131,8072 C2; 25866,85 X6;
-26,40574 C1; 132,0287 C2; 25866,87 X6;
-26,45002 C1; 132,2501 C2; 25866,89 X6;
-26,49431 C1; 132,4716 C2; 25866,92 X6;
-26,5386 C1; 132,693 C2; 25866,94 X6;
-26,58289 C1; 132,9145 C2; 25866,96 X6;
-26,62718 C1; 133,1359 C2; 25866,98 X6;
-26,67147 C1; 133,3573 C2; 25867,01 X6;
-26,71576 C1; 133,5788 C2; 25867,03 X6;
-26,76004 C1; 133,8002 C2; 25867,05 X6;
-26,80433 C1; 134,0217 C2; 25867,08 X6;
-26,84862 C1; 134,2431 C2; 25867,1 X6;
-26,89291 C1; 134,4645 C2; 25867,13 X6;
-26,9372 C1; 134,686 C2; 25867,15 X6;
-26,98148 C1; 134,9074 C2; 25867,17 X6;
-27,02577 C1; 135,1289 C2; 25867,2 X6;
-27,07006 C1; 135,3503 C2; 25867,22 X6;
-27,11435 C1; 135,5717 C2; 25867,24 X6;
-27,15863 C1; 135,7932 C2; 25867,27 X6;
-27,20292 C1; 136,0146 C2; 25867,29 X6;
-27,24721 C1; 136,236 C2; 25867,31 X6;
-27,29149 C1; 136,4575 C2; 25867,34 X6;
-27,33578 C1; 136,6789 C2; 25867,36 X6;
-27,38007 C1; 136,9004 C2; 25867,38 X6;
-27,42436 C1; 137,1218 C2; 25867,41 X6;
-27,46864 C1; 137,3432 C2; 25867,43 X6;
-27,51293 C1; 137,5647 C2; 25867,46 X6;
-27,55722 C1; 137,7861 C2; 25867,48 X6;
-27,6015 C1; 138,0075 C2; 25867,5 X6;
-27,64579 C1; 138,229 C2; 25867,53 X6;
-27,69008 C1; 138,4504 C2; 25867,55 X6;
-27,73436 C1; 138,6718 C2; 25867,58 X6;
-27,77865 C1; 138,8932 C2; 25867,6 X6;
-27,82293 C1; 139,1147 C2; 25867,63 X6;
-27,86722 C1; 139,3361 C2; 25867,65 X6;
-27,91151 C1; 139,5575 C2; 25867,68 X6;
-27,95579 C1; 139,779 C2; 25867,7 X6;
-28,00008 C1; 140,0004 C2; 25867,72 X6;
-28,04436 C1; 140,2218 C2; 25867,75 X6;
-28,08865 C1; 140,4433 C2; 25867,77 X6;
-28,13294 C1; 140,6647 C2; 25867,8 X6;
-28,17722 C1; 140,8861 C2; 25867,82 X6;
-28,22151 C1; 141,1075 C2; 25867,85 X6;
-28,26579 C1; 141,329 C2; 25867,87 X6;
-28,31008 C1; 141,5504 C2; 25867,89 X6;
-28,35436 C1; 141,7718 C2; 25867,92 X6;
-28,39865 C1; 141,9932 C2; 25867,95 X6;
-28,44293 C1; 142,2147 C2; 25867,97 X6;
-28,48722 C1; 142,4361 C2; 25867,99 X6;
-28,5315 C1; 142,6575 C2; 25868,02 X6;
-28,57579 C1; 142,8789 C2; 25868,04 X6;
-28,62007 C1; 143,1003 C2; 25868,07 X6;
-28,66436 C1; 143,3218 C2; 25868,1 X6;
-28,70864 C1; 143,5432 C2; 25868,12 X6;
-28,75293 C1; 143,7646 C2; 25868,14 X6;
-28,79721 C1; 143,986 C2; 25868,17 X6;
-28,84149 C1; 144,2075 C2; 25868,19 X6;
-28,88578 C1; 144,4289 C2; 25868,22 X6;
-28,93006 C1; 144,6503 C2; 25868,25 X6;
-28,97435 C1; 144,8717 C2; 25868,27 X6;
-29,01863 C1; 145,0932 C2; 25868,29 X6;
-29,06291 C1; 145,3146 C2; 25868,32 X6;
-29,10719 C1; 145,536 C2; 25868,35 X6;
-29,15148 C1; 145,7574 C2; 25868,37 X6;
-29,19577 C1; 145,9788 C2; 25868,4 X6;
-29,24005 C1; 146,2002 C2; 25868,42 X6;
-29,28433 C1; 146,4217 C2; 25868,45 X6;
-29,32861 C1; 146,6431 C2; 25868,47 X6;
-29,3729 C1; 146,8645 C2; 25868,5 X6;
-29,41718 C1; 147,0859 C2; 25868,52 X6;
-29,46146 C1; 147,3073 C2; 25868,55 X6;
-29,50575 C1; 147,5287 C2; 25868,58 X6;
-29,55003 C1; 147,7501 C2; 25868,6 X6;
-29,59432 C1; 147,9716 C2; 25868,63 X6;
-29,6386 C1; 148,193 C2; 25868,65 X6;
-29,68288 C1; 148,4144 C2; 25868,68 X6;
-29,72716 C1; 148,6358 C2; 25868,7 X6;
-29,77144 C1; 148,8572 C2; 25868,73 X6;
-29,81573 C1; 149,0786 C2; 25868,76 X6;
-29,86001 C1; 149,3 C2; 25868,78 X6;
-29,90429 C1; 149,5215 C2; 25868,81 X6;
-29,94857 C1; 149,7429 C2; 25868,84 X6;
-29,99285 C1; 149,9643 C2; 25868,86 X6;
-30,03714 C1; 150,1857 C2; 25868,89 X6;
-30,08142 C1; 150,4071 C2; 25868,92 X6;
-30,1257 C1; 150,6285 C2; 25868,94 X6;
-30,16998 C1; 150,8499 C2; 25868,97 X6;
-30,21426 C1; 151,0713 C2; 25868,99 X6;
-30,25854 C1; 151,2927 C2; 25869,02 X6;
-30,30283 C1; 151,5141 C2; 25869,05 X6;
-30,34711 C1; 151,7355 C2; 25869,07 X6;
-30,39139 C1; 151,9569 C2; 25869,1 X6;
-30,43567 C1; 152,1783 C2; 25869,12 X6;
-30,47995 C1; 152,3998 C2; 25869,15 X6;
-30,52423 C1; 152,6212 C2; 25869,18 X6;
-30,56851 C1; 152,8426 C2; 25869,2 X6;
-30,61279 C1; 153,064 C2; 25869,23 X6;
-30,65707 C1; 153,2854 C2; 25869,26 X6;
